120	2	5.8	2.8	5.1	2.4
121	1	6.0	2.2	4.0	1.0
122	0	5.5	4.2	1.4	0.2
123	2	7.3	2.9	6.3	1.8
124	0	5.0	3.4	1.5	0.2
125	2	6.3	3.3	6.0	2.5
126	0	5.0	3.5	1.3	0.3
127	1	6.7	3.1	4.7	1.5
128	1	6.8	2.8	4.8	1.4
129	1	6.1	2.8	4.0	1.3
130	2	6.1	2.6	5.6	1.4
131	1	6.4	3.2	4.5	1.5
132	1	6.1	2.8	4.7	1.2
133	1	6.5	2.8	4.6	1.5
134	1	6.1	2.9	4.7	1.4
135	0	4.9	3.6	1.4	0.1
136	1	6.0	2.9	4.5	1.5
137	1	5.5	2.6	4.4	1.2
138	0	4.8	3.0	1.4	0.3
139	0	5.4	3.9	1.3	0.4
140	2	5.6	2.8	4.9	2.0
141	1	5.6	3.0	4.5	1.5
142	0	4.8	3.4	1.9	0.2
143	0	4.4	2.9	1.4	0.2
144	2	6.2	2.8	4.8	1.8
145	0	4.6	3.6	1.0	0.2
146	0	5.1	3.8	1.9	0.4
147	1	6.2	2.9	4.3	1.3
148	1	5.0	2.3	3.3	1.0
149	0	5.0	3.4	1.6	0.4
